2	8	18	34	57	90	119	156	189	257
2	9	20	39	61	93	128	168	217	256
2	9	20	44	65	92	127	154	199	247
2	8	18	36	61	90	122	174	231	277
2	9	21	39	67	94	119	163	205	252
2	8	19	35	58	85	108	144	204	259
2	8	21	34	56	81	117	150	206	269
2	8	18	36	58	82	114	157	211	253
4	10	21	39	56	94	118	164	198	263
3	8	19	38	62	86	123	177	211	255
2	9	22	38	70	95	128	166	213	278
2	10	24	40	65	94	133	166	197	257
2	10	22	37	62	94	125	174	213	252
1	8	19	35	60	85	123	170	208	253
2	8	17	34	52	77	122	166	214	241
2	8	17	32	55	79	119	152	227	286
3	9	21	39	62	88	123	165	200	249
2	9	21	36	56	86	123	164	190	272
2	8	21	38	55	77	108	144	182	240
2	9	22	38	66	90	148	177	226	278
2	9	22	40	59	86	119	158	200	258
2	8	20	36	58	87	120	157	202	249
2	8	20	36	59	85	118	155	202	244
2	8	20	36	57	84	115	152	191	248
2	9	20	35	57	85	117	150	192	240
2	9	18	36	57	82	115	150	194	241
2	9	19	34	56	87	128	175	209	244
2	9	19	35	57	83	121	152	194	238
2	8	19	35	56	83	113	152	195	241
2	8	20	35	56	83	113	151	192	242
2	9	19	36	56	83	114	151	193	240
1	8	20	35	58	83	115	152	193	241
1	8	20	36	56	82	114	154	192	251
2	9	20	38	61	85	120	163	211	282
2	9	19	37	57	87	118	156	199	248
2	9	20	36	59	86	118	155	203	242
2	9	20	36	57	84	120	150	192	240
2	8	19	35	57	83	115	150	194	242
2	8	19	36	57	83	113	152	196	242
2	8	19	35	56	85	119	156	200	239
3	8	19	36	56	81	120	158	208	262
2	9	22	39	57	84	115	150	193	242
2	8	18	37	57	84	114	150	193	242
2	8	20	35	57	83	116	151	194	243
2	7	19	35	55	84	113	150	193	239
2	9	19	35	57	82	114	152	193	252
2	9	21	38	60	96	133	166	206	255
2	8	22	38	60	84	115	156	208	277
3	8	20	39	58	87	115	155	200	235
2	8	19	37	56	83	113	148	197	241
2	8	19	34	55	81	111	145	186	234
2	8	19	34	55	79	111	149	190	235
2	8	20	35	55	81	116	150	201	233
2	8	18	34	56	80	111	161	188	237
2	8	19	33	55	81	112	148	185	228
2	10	21	39	58	85	114	151	189	239
2	9	18	35	55	80	112	147	186	234
2	8	18	35	54	80	113	147	189	234
2	7	18	33	55	78	108	143	183	228
2	8	19	37	56	85	121	157	194	243
2	9	20	34	58	90	117	153	198	242
2	8	19	36	56	83	117	151	192	244
2	9	20	33	55	79	117	160	197	244
2	8	18	34	56	81	112	147	189	229
2	7	18	34	54	78	109	143	183	229
2	8	18	33	53	78	109	145	186	246
2	8	20	37	59	86	111	148	189	243
2	8	19	35	55	80	113	149	190	230
2	7	19	33	53	79	112	145	186	232
2	8	18	35	53	79	109	147	190	251
2	9	22	35	58	83	112	143	184	230
2	8	18	33	54	79	108	146	182	229
2	7	18	34	53	78	111	148	197	254
3	8	20	35	57	83	113	159	202	244
2	9	19	36	57	83	117	153	197	241
2	8	19	35	57	82	114	153	195	256
2	8	18	34	54	89	116	148	189	251
1	9	19	34	63	87	119	162	196	244
3	9	22	36	56	82	114	156	196	235
2	8	19	36	62	89	117	164	194	240
1	7	20	35	58	90	119	150	193	237
2	8	19	34	55	81	112	147	188	241
2	8	19	35	57	84	113	148	191	241
2	8	20	34	56	83	114	151	193	238
2	9	19	37	59	83	123	161	209	238
2	8	19	34	55	80	110	147	190	247
2	9	20	38	61	85	117	154	197	255
2	8	19	36	58	86	117	152	199	250
2	9	20	36	58	85	117	158	198	240
3	8	19	35	57	82	116	152	191	243
2	9	19	35	56	82	111	149	191	238
2	8	19	35	56	82	114	155	206	250
2	8	18	34	57	86	120	155	202	238
2	8	19	35	57	82	116	155	192	241
2	8	19	35	55	82	113	150	192	238
2	8	18	35	54	80	112	148	189	259
2	11	19	34	55	82	113	150	190	238
2	9	20	37	56	80	111	146	191	240
2	8	18	34	54	81	111	147	194	268
2	8	24	37	62	94	121	153	196	250
